Age,Experience,WorkingHours,ProjectsCompleted,Attendance,TrainingHours,PreviousPerformance,OvertimeHours,JobSatisfaction,Participation,PerformanceScore
22,4.1,11.4,7,87.7,1.9,77.8,13.1,2,8,71.35
29,19.3,10.2,1,92.5,18.9,48.3,25.7,5,4,69.59
47,1.6,10.7,0,95.4,16.4,96.3,22.7,4,3,56.71
53,19.7,11.8,9,77.7,27.7,57.4,22.8,8,4,94.12
37,10.4,8.3,5,92.4,32.9,95.8,19.3,7,9,95.84
44,17.8,7.6,10,98.5,22.3,86.1,21.9,4,1,97.24
26,9.3,10.3,17,75.8,20.3,96.9,23.1,7,10,100.0
33,1.8,6.6,1,98.0,6.2,93.2,23.9,2,9,60.01
31,14.9,10.9,17,76.5,48.4,54.2,10.8,8,4,100.0
34,17.4,7.7,16,81.9,25.2,46.0,2.3,4,4,100.0
47,9.5,6.0,5,83.2,20.0,68.0,10.7,9,7,85.24
24,10.9,10.8,19,78.8,47.2,93.6,16.2,8,3,100.0
41,0.0,9.1,20,80.6,44.0,87.8,25.6,1,2,86.75
43,15.7,9.3,5,69.5,37.6,99.7,19.7,8,8,100.0
41,1.0,10.6,12,77.3,15.1,51.8,2.2,3,1,66.71
45,8.1,11.7,10,89.8,13.8,56.0,24.1,8,1,73.62
23,13.4,6.3,5,81.5,1.1,65.0,15.4,4,7,76.07
46,4.8,6.3,3,97.2,39.5,90.7,8.9,8,5,85.83
26,3.2,10.5,11,89.4,46.1,41.5,6.0,4,5,77.43
48,18.0,10.7,3,96.0,1.7,66.3,2.0,2,9,88.55
22,1.7,9.3,0,64.3,5.4,71.4,4.1,3,7,52.33
37,11.8,9.0,0,77.2,48.5,50.5,16.2,4,6,65.62
36,5.4,11.9,0,76.2,49.5,52.1,21.3,7,5,57.32
23,15.5,9.6,19,80.5,37.4,76.2,18.2,6,4,100.0
40,3.1,9.3,5,72.6,2.9,90.0,11.9,3,6,67.0
51,15.4,9.7,12,80.2,12.3,64.9,4.1,2,3,92.86
