Age,StudyHours,Attendance,PreviousMarks,AssignmentScore,QuizScore,Backlogs,Activities,SleepHours,PerformanceScore
23,4.9,85.4,64.0,72.6,41.1,2,10,6.0,67.05
24,1.4,50.4,90.7,72.9,97.5,3,3,5.5,50.4
19,6.4,58.3,44.2,97.2,97.6,2,4,7.6,69.39
21,6.5,96.9,84.3,66.1,94.9,1,10,7.2,90.75
24,7.9,97.8,73.3,66.4,47.5,2,9,7.9,85.28
24,7.3,69.1,41.9,96.8,99.3,1,1,5.9,75.5
23,4.3,89.8,79.4,57.5,90.9,3,2,8.8,67.65
20,6.4,71.8,79.1,75.0,97.1,2,4,8.3,79.24
20,5.8,76.9,48.6,75.9,87.5,0,1,6.8,74.37
21,9.9,94.3,65.6,69.7,49.9,5,4,4.3,73.12
24,3.6,56.7,56.7,45.6,48.6,1,9,5.7,55.54
21,2.2,65.2,82.5,43.4,49.7,2,4,4.0,49.78
21,7.9,53.4,56.1,73.4,42.4,1,9,7.6,75.98
20,3.1,93.0,91.3,93.9,89.1,4,8,6.6,66.72
19,8.9,98.2,64.1,66.9,47.7,5,10,4.6,72.32
23,1.7,82.9,44.1,52.1,48.7,0,8,5.4,53.88
19,3.0,70.3,94.5,95.4,97.3,1,5,7.2,74.66
19,7.7,89.9,72.8,75.8,48.6,0,8,5.2,88.62
18,6.3,87.7,45.8,82.9,82.0,1,5,4.2,73.38
20,8.8,82.4,87.7,64.3,47.7,3,9,8.4,85.7
24,6.8,83.1,82.4,48.1,96.9,2,2,4.2,76.12
20,7.4,93.8,88.1,70.9,79.2,3,9,9.0,86.89
25,7.4,59.9,93.6,76.9,90.0,5,3,6.1,69.27
25,3.3,91.2,81.7,47.2,95.3,1,2,7.3,70.41
18,2.6,59.0,74.7,81.2,91.9,2,5,4.8,57.48
23,5.8,81.0,74.0,52.8,84.5,5,8,6.2,61.83
24,1.8,56.6,43.7,62.2,60.9,5,10,8.1,34.85
19,3.8,50.4,72.9,73.3,60.2,4,7,8.5,52.86
22,9.6,83.3,47.4,40.5,94.9,0,1,8.9,89.85
